year,bd_best,battle_location
1989,725,Philippines
1989,97,Philippines
1989,25,India
1989,150,Paraguay
1989,1000,Myanmar
1989,194,Myanmar
1989,82,Guatemala
1989,27,Israel
1989,27,Israel
1989,458,Lebanon
1989,253,Lebanon
1989,30,Laos
1989,18366,Ethiopia
1989,37,Ethiopia
1989,25,Iraq
1989,25,Iraq
1989,5930,Ethiopia
1989,235,Chad
1989,50,Chad
1989,30,Sudan
1989,63,Colombia
1989,142,Colombia
1989,33,Colombia
1989,1650,Peru
1989,177,Peru
1989,327,South Africa
1989,404,Cambodia
1989,271,Cambodia
1989,143,Cambodia
1989,115,Philippines
1989,4253,Sudan
1989,388,Sri Lanka
1989,453,Uganda
1989,566,Uganda
1989,38,Germany
1989,4924,El Salvador
1989,26,Bangladesh
1989,2810,Angola
1989,207,Morocco
1989,1149,Mozambique
1989,1545,Afghanistan
1989,181,Afghanistan
1989,3393,Afghanistan
1989,30,Afghanistan
1989,25,Afghanistan
1989,526,Nicaragua
1989,350,Djibouti
1989,29,Somalia
1989,27,Liberia
1989,905,India
1989,34,Sri Lanka
1989,111,Sri Lanka
1989,442,Turkey
1989,29,Comoros
1989,77,Panama
1989,843,Panama
1989,53,Romania
1989,196,Romania
1989,48,Haiti
1989,25,Ethiopia
1989,72,India
1990,31,Iran
1990,1140,Philippines
1990,35,Philippines
1990,28,India
1990,393,Myanmar
1990,25,Myanmar
1990,112,Myanmar
1990,25,Myanmar
1990,83,Guatemala
1990,29,Israel
1990,700,Lebanon
1990,249,Laos
1990,18985,Ethiopia
1990,34,Iraq
1990,60,Iraq
1990,30633,Ethiopia
1990,252,Chad
1990,1100,Chad
1990,351,Colombia
1990,115,Colombia
1990,35,Colombia
1990,1052,Peru
1990,47,Peru
1990,174,Cambodia
1990,100,Cambodia
1990,64,Philippines
1990,77,Philippines
1990,4335,Sudan
1990,61,Sri Lanka
1990,544,Uganda
1990,77,Uganda
1990,44,Germany
1990,849,El Salvador
1990,45,Bangladesh
1990,2558,Angola
1990,1577,Mozambique
1990,581,Afghanistan
1990,586,Afghanistan
1990,178,Afghanistan
1990,25,Afghanistan
1990,108,Afghanistan
1990,39,Nicaragua
1990,1229,Djibouti
1990,25,Somalia
1990,1456,Somalia
1990,236,Ivory Coast
1990,111,Liberia
1990,1839,India
1990,3561,Sri Lanka
1990,526,Turkey
1990,407,India
1990,30,India
1990,72,Indonesia
1990,55,Papua New Guinea
1990,1058,Kuwait
1990,457,Mali
1990,1126,Rwanda
1990,58,Senegal
1990,49,Russia
1990,143,Russia
1990,39,Trinidad
1990,70,Pakistan
1990,80,Ethiopia
1990,25,India
1990,42,Lebanon
1991,100,Ethiopia
1991,150,Myanmar
1991,1514,Philippines
1991,99,India
1991,552,Myanmar
1991,25,Myanmar
1991,25,Myanmar
1991,78,India
1991,25,Myanmar
1991,72,Guatemala
